claim_name,total_post
health (passive),5329592
boar,4609405
rabbit,2821690
probiotic,2462718
pumpkin,2417031
caramel,1711100
shrimp,1542428
cheese,1227062
allergy,1121147
microwaveable,928228
hfcs free,871272
convenience - easy-to-prepare,867086
garden pea,791132
dry,749108
sugar free,736715
bone health,695432
low carb,535903
heart meat,531123
ethnic & exotic,527730
refill,509179
diabetic,479255
beef,450954
sausage,376114
seasonal/in-out products,366206
antioxidant,353431
vegetarian,348499
others,312434
brain health,298361
yogurt,292071
lactose free,283958
papaya,238672
salmon,231258
sports & recovery,228675
low gi,226591
meat,220951
parmesan cheese,182355
co-branding,160811
nuts,160113
honey,155690
american gumbo,153265
french bisque,147712
herbal,147350
chicken,147315
gingerbread,133417
seafood,130545
omega-3,127911
no trans fats,122043
low sodium,121895
skin health,118200
ethical - human,117986
economy,109903
anti-aging/aging-well,109775
turkey,105316
kale,97262
gmo free,90840
vegetables,89511
blueberry,82573
traditional,81632
ethical - environment,81213
heart health,80264
low fat,76414
sea salt,73178
oral health,59563
ethical - not specific,59463
low cholesterol,58026
convenience - time saving,55043
cola,54685
butter,54120
gluten free,50583
vegan,48957
indulgent & premium,46938
added fiber,46855
duck,43960
health (active),42057
lamb,42010
banana,41928
green bean,41395
liver,41304
beef hamburger,40419
mackerel,37641
energy/alertness,36193
eye health,33100
hickory smoked,32486
mango,31761
convenience - packaging,29910
added calcium,29026
fish,28944
sticks,28580
toffee,28221
no additives/preservatives,28035
crab,26983
egg,26976
snickerdoodle,26942
low sugar,26236
high/source of fiber,25945
wholegrain,25285
pleasure,24946
convenience - consumption,23985
ethical - animal/fish & bird,22837
convenience - ready prepared,22109
carrot,20542
organic,19236
no added sugar,18565
tarragon,18541
ethical - packaging,18133
low calorie,16557
herring,16119
soy foods,14752
celery,14305
dandelion greens,13923
broccoli,13632
cheddar cheese,13131
crawfish,12176
prebiotic,10958
ethical,10756
choice,10553
beans,10259
peanut butter,10148
tuna,8901
rosemary,8793
brownie,8631
seeds,8602
white cheddar cheese,8092
immune health,7396
orange,7237
high/source of protein,7122
cumin,6514
strawberry,6290
cinnamon,6103
added iron,6060
herbs,5458
sweet potato,5186
blackberry,5144
green tea,4974
blood orange,4795
cherry,4633
trout,4567
smoked,4539
kosher,4492
red raspberry,4430
halal,4331
quail,4281
sole,4154
joint health,4138
parsley,3877
weight management,3352
cashew nut,2779
vitamin/mineral fortified,2525
poultry,2494
pork,2380
passion fruit,2235
digestive/gut health,2104
coconut,2027
red tomato,1803
carob,1772
pheasant,1721
peppermint,1717
dill,1621
scallop,1571
cod,1532
sardine,1388
single shot,1274
shortbread,1247
garlic,1013
hemp seeds,1007
peach,935
added protein,685
natural,683
venison,652
bacon,626
peanut,582
roquefort cheese,509
butterscotch,492
chili,470
milk chocolate,422
"functional, not specified",416
cranberry,380
red apple,351
cream,346
vanilla,331
mint,325
spinach,219
berry,144
pepper,98
pomegranate,71
cloves,52
convenience,47
anchovy,29
butternut squash,29
seaweed,22
lobster,10
fruit,3
ricotta cheese,0
